f9-privacy-mirror | What neighbors see (user-scoped, with 'Your posts') | EXTEND_EXISTING | loop | Make the coordinate-leak fix legible and checkable, to the people most likely to be posting from a bookmarked address.
f9-curator-chip | Pantopus curator chip + 'Why am I seeing this?' | EXTEND_EXISTING | loop | Let a reader tell at a glance that a post came from Pantopus rather than a neighbor, and understand what they are muting.
f9-earn-removal | Earn entries removed + a calm landing for old links | EXTEND_EXISTING | loop | Take the cash-Earn promise off every surface for users who never earned, without hiding money from users who have.
f9-verification-promise-copy | Verification promise lists (one name, no withdrawn fee promise) | COPY_ONLY | loop | Every surface that sells verification uses one name and none carries the withdrawn 'permanent 0% marketplace fee' promise.
f9-founding-meter-preview | Founding slots — honest meter, fails closed | EXTEND_EXISTING | loop | Never promise a Founding Neighbor slot the system cannot honour — including when the founding-window lookup fails, which today defaults to 'open'.
x-provenance-sheet | Where this comes from (provenance + "this isn't right") | NEW_SHEET_OR_MODAL | loop | One sheet that answers 'where did this fact come from, how sure are we, and how do I tell you it's wrong' — so provenance is a mark everywhere and pro
x-date-sheet | The Date sheet (one sheet, three modes, ten kinds) | NEW_SHEET_OR_MODAL | loop | 'Tell the app a date' is one job. Today it is specified as seven separate sheets; this is the one component that creates, shows, edits, reminds about 
x-place-file | Your place file | NEW_SCREEN | loop | The one hub for every fact the product can hold about this address — so the first-week checklist, the mover's checklist, the user's dates and the keep
f1-your-places | Your places (and which one Today uses) | EXTEND_EXISTING | loop | See everything you saved, see which one Today is running on and why, switch it, claim it or remove it — in one surface instead of the two the doc spec
f1-add-place-sheet | Add a place (signed-in address search + save) | NEW_SHEET_OR_MODAL | loop | Give 'Preview an address' and 'Save an address to see today here' a destination for a signed-in user who has no place — today both dead-end on Android
f1-save-confirmation | Saved — Today now uses this address | EXTEND_EXISTING | loop | The one moment the user learns the save did anything. Say what changed, in one sentence, and hand them to Today.
f1-email-verify-handoff | Email verification handoff carrying the held address | EXTEND_EXISTING | loop | Keep the previewed address alive across the register → verify-email → return gap, which is where the bridge currently breaks for cross-device users.
f1-today-tab | Today (one composition, both payloads) | EXTEND_EXISTING | loop | Stop having three screens called Today. One composition per platform, whose sections appear or not based on data, so claiming an address reads as 'mor
f5-today-calendar-strip | Next 14 days at this address (strip + rows) | NEW_CARD_IN_EXISTING | loop | Show the next two weeks at this address as a shape, not a paragraph — pickup cadence, the user's own dates, seeded civic rows — with each item's prove
f4-today-pickup-card | Tomorrow's pickup (push landing + confirm/correct) | NEW_CARD_IN_EXISTING | loop | State tomorrow's pickup, say how confident we are, and let one tap turn a guessed city schedule into the household's own confirmed day.
f1-today-air-band | Air quality band (and the alert landing) | EXTEND_EXISTING | loop | Make the one genuinely canonical scale in the product legible, and make an alert push land on a screen that shows the crossing that caused it.
f4-notification-primer | Notification permission primer | NEW_SHEET_OR_MODAL | loop | Stop burning the one-shot iOS notification grant at cold launch, before the user has a place or a reason.
f4-briefing-optin-card | Briefing opt-in (morning + night-before, one card) | NEW_CARD_IN_EXISTING | loop | Let a saved-place user switch on the return trigger without owning or verifying a home — and expose the evening briefing that F4's whole feature and §
f4-notification-settings | Notifications (one page, four groups) | EXTEND_EXISTING | loop | One honest place to control every push this design introduces — including the alert pushes, which today have no switch anywhere.
f1-claim-receipt | Claimed — what came with you | EXTEND_EXISTING | loop | Acknowledge the T1→T3 promotion on screen, name what moved, and get consent for the one real privacy change it causes.
f6-home-basics-rows | Home basics: move-in date + restore the mover rows | EXTEND_EXISTING | loop | Make the gate for the whole mover experience editable, and give a synced dismissal a way back.
f6-place-section-details | Place section details: risk instrument, free radon kits, registration deadline | NEW_CARD_IN_EXISTING | loop | Make the in-app risk page the same instrument the share card uses, give the radon card its one genuinely free action, and give voter registration a du
f3-members-roster | Members roster (one surface, honest invite, no fake guest form) | EXTEND_EXISTING | loop | Let every member see who lives here, show honestly how each person was verified, and make the Invite button actually invite.
f3-invite-composer | Invite a co-resident (email, username, link, QR) | EXTEND_EXISTING | loop | Send one household invitation by whichever channel you actually have for that person.
f3-invite-banner | Invitations waiting for you (single-slot landing banner) | NEW_CARD_IN_EXISTING | loop | Make a waiting household invitation — and a dead one needing reissue — impossible to miss, without opening My Homes.
f3b-invitation-decision | Invitation decision (what you get now vs what needs verification) | EXTEND_EXISTING | loop | Let someone accept household access understanding exactly what it does and does not give them — and land them somewhere useful.
f3b-verify-address-sheet | Verify this address (one sheet, many callers) | NEW_SHEET_OR_MODAL | loop | One consistent place to understand what address verification adds and start it — parameterised by WHY it opened.
f3b-owner-attestation | Confirm this person lives here (owner attestation) | NEW_SHEET_OR_MODAL | loop | Give a co-resident a completable path to address verification on a home someone else has already claimed.
